Batch,Accuracy,Precision,Recall,F1-Score,ROC-AUC,KL-Drift-Score,Drift_Strength
1,0.9996,1.0,0.75,0.8571428571428571,0.8726963141025641,0.0123281513436845,0.0
2,0.9992,1.0,0.6363636363636364,0.7777777777777778,0.906640062683358,0.010555908781134745,0.0
3,0.999,1.0,0.375,0.5454545454545454,0.9349834735576922,0.011720341908020291,0.0
4,0.9996,1.0,0.7142857142857143,0.8333333333333334,0.9999713885153501,0.011173784655811434,0.0
5,0.9998,1.0,0.9090909090909091,0.9523809523809523,0.953789245430857,0.012148889105424644,0.0
6,0.9996,1.0,0.75,0.8571428571428571,0.9970577924679487,0.02379054460351727,0.3
7,0.999,1.0,0.6428571428571429,0.782608695652174,0.9254125838060857,0.0233035808333493,0.3
8,0.999,1.0,0.5454545454545454,0.7058823529411765,0.9033601195357058,0.025750648127713473,0.3
9,0.9994,0.6666666666666666,0.5,0.5714285714285714,0.999599679743795,0.024372850310851398,0.3
10,0.9998,1.0,0.8571428571428571,0.9230769230769231,0.99997138851535,0.026197590648396517,0.3
11,1.0,1.0,1.0,1.0,1.0,0.06380474811759368,0.7
12,0.9992,1.0,0.5,0.6666666666666666,0.9301632612179487,0.061979657021855004,0.7
13,0.9994,1.0,0.75,0.8571428571428571,0.9536053194333065,0.06071355197574197,0.7
14,0.9996,1.0,0.6666666666666666,0.8,0.9890535309037513,0.06169938138905871,0.7
15,0.9996,1.0,0.6666666666666666,0.8,1.0,0.06552284501801457,0.7
16,0.9988,0.75,0.375,0.5,0.8522385817307693,0.06354053610436401,0.7
17,0.9994,1.0,0.7272727272727273,0.8421052631578947,0.8992966344138924,0.06276129268940925,0.7
18,1.0,0.0,0.0,0.0,,0.13768425981206756,0.7
