Candidate_Model,Validation_F1,Validation_Precision,Validation_Recall,Validation_ROC_AUC,Batch
Logistic Regression,0.13305613305613306,0.07174887892376682,0.9142857142857143,0.9793071937987753,12
Random Forest,0.864,0.9818181818181818,0.7714285714285715,0.9489309259473219,12
XGBoost,0.6082474226804123,0.47580645161290325,0.8428571428571429,0.9843705469835903,12
Logistic Regression,0.13026819923371646,0.06995884773662552,0.9444444444444444,0.9869241565193815,15
Random Forest,0.8461538461538461,0.9482758620689655,0.7638888888888888,0.9638872608044996,15
XGBoost,0.6326530612244898,0.5,0.8611111111111112,0.9906003046179118,15
Logistic Regression,0.13176007866273354,0.07097457627118645,0.9178082191780822,0.9853383049545512,16
Random Forest,0.828125,0.9636363636363636,0.726027397260274,0.9575116822429908,16
XGBoost,0.6629834254143646,0.5555555555555556,0.821917808219178,0.987950006401229,16
